Property_ID,Latitude,Longitude,Rent_PKR,Square_Footage,Max_Daily_Orders
PROP-232,24.716185803979887,66.98161968994093,50006,3377,1688
PROP-233,24.68495132193985,66.96995776158963,52144,3327,1663
PROP-234,24.958655003424127,67.14291786603822,135860,1200,600
PROP-235,24.93986166178557,66.90644372062734,95054,3789,1894
PROP-236,24.90631705397198,66.8804649468473,138057,834,417
PROP-237,24.966748840490787,67.23260886387314,64720,2913,1456
PROP-238,24.676741554118337,67.02689113492897,116690,3938,1969
PROP-239,24.96955082103508,67.10146221453641,99099,2060,1030
PROP-240,25.010929132103243,67.23917479029832,60795,1583,791
PROP-241,25.05940127826129,66.91074227783757,52041,4089,2044
PROP-242,24.76294233827912,67.1223989684773,140299,912,456
PROP-243,24.723279940174542,67.04936692047451,78052,764,382
PROP-244,24.937064712962272,67.09390537769185,78757,4460,2230
PROP-245,25.0311233087641,66.91757082692482,105446,802,401
PROP-246,24.98318850603128,67.10848441386898,103847,4314,2157
PROP-247,24.872776100860985,67.09398341883903,73589,660,330
PROP-248,24.85581699857772,67.17561485625285,53796,2892,1446
PROP-249,24.85718184152069,67.07453449569819,88273,819,409
PROP-250,24.993783437083756,67.226866596329,78830,3825,1912
PROP-251,25.0394186510478,67.23071848746397,56797,3328,1664
PROP-252,24.891034789318304,66.96474323051748,148817,3405,1702
PROP-253,24.811966471282343,67.052307892781,134076,4098,2049
PROP-254,24.88850330906768,67.00679622923235,94281,2026,1013
PROP-255,24.89981893404441,66.88502813466212,89639,3010,1505
PROP-256,24.967337814900148,67.08062684633751,80728,1454,727
PROP-257,24.803189287348918,67.09884118123966,111524,2800,1400
PROP-258,24.83697151271625,66.86434966793624,73112,2870,1435
PROP-259,25.02076404460368,67.06386290740606,73574,1358,679
PROP-260,25.050633644744394,67.21143458797405,111856,2953,1476
PROP-261,24.701943307898876,66.90042642640557,83733,3037,1518
PROP-262,25.00625061518768,67.13982845691291,101165,2353,1176
PROP-263,24.83402955215433,67.07834229106766,126926,3956,1978
PROP-264,24.71873925778004,67.08897675176947,74647,1476,738
PROP-265,24.702193602627823,67.02256834435413,116975,3452,1726
PROP-266,24.85991570603361,67.16196728681358,79424,892,446
PROP-267,24.743693732387545,67.00692464930852,50623,998,499
PROP-268,24.674994166725767,67.15289492269302,100794,4396,2198
PROP-269,24.821363171924784,67.03387206109204,106738,4068,2034
PROP-270,24.68725376768525,66.92981074578861,113880,1653,826
PROP-271,24.78882421112057,67.21931814388613,120118,2088,1044
PROP-272,24.92657374821601,66.97595305668277,123237,818,409
PROP-273,24.92427906230169,66.86642276890139,106021,3645,1822
PROP-274,24.74087947147001,67.2196650540551,75589,4882,2441
PROP-275,25.022265757977586,67.24582140506632,97598,709,354
PROP-276,25.053540222995345,66.97352590187927,125322,4620,2310
PROP-277,24.978873217428475,66.94600155385287,120848,1560,780
PROP-278,25.00933686364619,66.91988866751204,131854,2294,1147
PROP-279,24.888049753143815,67.1026716971237,113804,2691,1345
PROP-280,24.803974032951693,67.13579369545059,120273,1063,531
PROP-281,25.021422569485907,66.98527243962442,111176,4771,2385
PROP-282,24.993371402616525,67.13477255247889,124136,938,469
PROP-283,24.9679769770116,66.89135247731853,85137,2053,1026
PROP-284,24.86262224749048,66.90255609995326,88524,3411,1705
PROP-285,24.817660980275893,67.11772454944696,84702,2266,1133
PROP-286,24.699601900896912,67.16438953766963,73074,3014,1507
PROP-287,24.86129647593681,67.08648613276173,76346,1692,846
PROP-288,25.017135423713764,67.03768041486296,69841,2182,1091
PROP-289,24.900678533105488,67.069986147546,138994,3728,1864
PROP-290,24.75493934044895,66.93636623451796,57450,3290,1645
PROP-291,24.876663445131594,66.97173216931577,74475,866,433
PROP-292,24.79656717140052,67.0677685147672,108218,2699,1349
PROP-293,24.875946800173512,66.92547124991823,66900,2779,1389
PROP-294,24.82289149161825,67.18236018761165,136412,4343,2171
PROP-295,24.666545017200168,67.1204372416006,96233,2297,1148
PROP-296,24.873637501354143,66.96386690578802,115021,4526,2263
PROP-297,24.776316597550508,67.1344644588421,81128,2531,1265
PROP-298,24.963145908173612,67.23916018030562,146948,2728,1364
PROP-299,24.67958204980922,67.18116086754857,120275,3957,1978
PROP-300,24.94347586445994,67.17598705735357,52986,2378,1189
